nombre,categoria,tipo,lat,lon,codigo,codigo_antiguo,estado
MONTEGRANDE,CO,Meteorológica,-7.22499,-79.15323,100090,000396,DIFERIDO
YONAN GORE,HLM,Hidrológica,-7.25592,-79.09908,201204,201204,DIFERIDO
PUENTE  MAYGASBAMBA,HLG,Hidrológica,-6.67411,-78.52437,221110,220307,DIFERIDO
QUEBRADA SHUGAR,PLU,Meteorológica,-6.68778,-78.45694,100113,153108,DIFERIDO
CHUGUR,PLU,Meteorológica,-6.66878,-78.738,106077,153208,DIFERIDO
CACAO,HLM,Hidrológica,-5.8837,-78.9625,220405,220405,DIFERIDO
EL LIMON,CO,Meteorológica,-5.91778,-79.31722,105057,000241,DIFERIDO
HACIENDA PUCARA,PLU,Meteorológica,-6.04167,-79.13389,106065,153107,DIFERIDO
SAN MIGUEL,EAMA,Meteorológica,-5.24006,-78.91138,105142,105142,DIFERIDO
COCHALAN,PLU,Meteorológica,-5.4654,-78.9888,105111,152212,DIFERIDO
COCHALAN,HLG,Hidrológica,-5.4651,-78.9885,220814,220815,DIFERIDO
TABACONAS,HLG,Hidrológica,-5.32221,-79.28779,220812,220813,DIFERIDO
LIVES,PLU,Meteorológica,-7.0802,-79.04045,107055,153111,DIFERIDO
CIRATO,HLG,Hidrológica,-6.65579,-79.07395,106122,200909,DIFERIDO
CHANCAY BAÑOS,CO,Meteorológica,-6.575,-78.86722,106022,000395,DIFERIDO
SALCCA,PE,Meteorológica,-14.16997,-71.23187,114131,114131,DIFERIDO
CHACLLABAMBA,CO,Meteorológica,-13.10855,-71.72,113139,155518,DIFERIDO
CHONTACHACA,CO,Meteorológica,-13.02389,-71.46778,100030,006671,DIFERIDO
HUANCALPI,CO,Meteorológica,-12.58029,-75.24179,112142,156126,DIFERIDO
HUACHOS,CO,Meteorológica,-13.2206,-75.53348,113067,151503,DIFERIDO
SAN JUAN DE CASTROVIRREYNA,CO,Meteorológica,-13.21198,-75.62758,113082,156114,DIFERIDO
CHOCLOCOCHA,CO,Meteorológica,-13.1588,-75.07145,113091,156130,DIFERIDO
PAUCARBAMBA,CO,Meteorológica,-12.55573,-74.53592,112066,000658,DIFERIDO
CORDOVA,PLU,Meteorológica,-14.04061,-75.18698,114065,157101,DIFERIDO
TUNEL CERO,CO,Meteorológica,-13.25932,-75.08596,113016,000647,DIFERIDO
CUSICANCHA,CO,Meteorológica,-13.50399,-75.29625,113086,156121,DIFERIDO
CHALLACA PLU,PLU,Meteorológica,-13.7896,-75.40029,100025,000009,DIFERIDO
CHALLACA,CO,Meteorológica,-13.79047,-75.38212,113128,006640,DIFERIDO
SANTIAGO DE CHOCORVOS,CO,Meteorológica,-13.83308,-75.25083,113088,156123,DIFERIDO
TAMBO,CO,Meteorológica,-13.69163,-75.27418,113087,156122,DIFERIDO
CHINCHAVITO,HLM,Hidrológica,-9.515,-75.9425,230003,230003,DIFERIDO
TARUCA,HLM,Hidrológica,-9.85038,-76.15236,230002,230002,DIFERIDO
HUERTAS,HLM,Hidrológica,-10.1265,-76.20511,230717,230717,DIFERIDO
JACAS GRANDE,CO,Meteorológica,-9.5433,-76.76042,109085,109085,DIFERIDO
PUENTE BELLA,HLM,Hidrológica,-9.32411,-76.02935,230004,230004,DIFERIDO
PUENTE PEREZ,HLM,Hidrológica,-9.34694,-75.9825,230001,230001,DIFERIDO
HUAMANI EL TAMBO,HLM,Hidrológica,-13.84358,-75.58928,213504,213504,DIFERIDO
LOS MOLINOS,PLU,Meteorológica,-13.9248,-75.6786,113244,113244,DIFERIDO
CONTA,HLG,Hidrológica,-13.43942,-75.97514,203501,203501,DIFERIDO
HUALLPOCA,PLU,Meteorológica,-14.632,-74.9559,114106,156225,DIFERIDO
MADRIGAL,CO,Meteorológica,-15.60999,-71.80654,115092,157317,DIFERIDO
SUMBAY,HLG,Hidrológica,-15.8412,-71.1146,204702,204702,DIFERIDO
PILLONES,CO,Meteorológica,-15.98124,-71.2167,115126,158208,DIFERIDO
PUENTE COLGANTE-SIBAYO,HLG,Hidrológica,-15.4942,-71.4637,204604,204604,DIFERIDO
PORPERA,CO,Meteorológica,-15.3142,-71.3064,115101,157329,DIFERIDO
TISCO,CO,Meteorológica,-15.34577,-71.44702,115098,157325,DIFERIDO
CHICHAS,CO,Meteorológica,-15.54811,-72.91831,115078,157300,DIFERIDO
SALAMANCA,HLM,Hidrológica,-15.5033,-72.8318,204501,204501,DIFERIDO
YANAQUIHUA,CO,Meteorológica,-15.77649,-72.87584,115128,000864,DIFERIDO
LA HACIENDITA,CO,Meteorológica,-16.9986,-71.6008,117006,000838,DIFERIDO
CUYAU,HLM,Hidrológica,-15.2182,-72.9359,204506,204508,DIFERIDO
PULLHUAY (AYAHUASI),CO,Meteorológica,-15.1459,-72.7439,115084,157309,DIFERIDO
PUYCA,CO,Meteorológica,-15.06055,-72.69262,115082,157307,DIFERIDO
HUANCASANCOS,CO,Meteorológica,-13.91694,-74.33361,100055,156218,DIFERIDO
HUANTA,CO,Meteorológica,-12.9113,-74.2832,112068,000660,DIFERIDO
HUASAPAMPA,HLG,Hidrológica,-14.26667,-73.95,230705,230705,DIFERIDO
LLAUTA,PLU,Meteorológica,-14.2466,-74.9255,114067,157200,DIFERIDO
LUCANAS,PLU,Meteorológica,-14.6204,-74.2328,114072,157206,DIFERIDO
LAMPA,PLU,Meteorológica,-15.18468,-73.34786,115076,157223,DIFERIDO
CHILCAYOC,CO,Meteorológica,-13.883,-73.7268,113101,156212,DIFERIDO
AYLAMBO,PE,Meteorológica,-7.19345,-78.51012,107033,000316,DIFERIDO
LA VICTORIA,PE,Meteorológica,-7.19119,-78.45947,107035,000318,DIFERIDO
CHOTANO LAJAS,PLU,Meteorológica,-6.5622,-78.7389,106084,153235,DIFERIDO
CASCABAMBA,HLM,Hidrológica,-7.38332,-78.73377,201301,201301,DIFERIDO
OCROS,PLU,Meteorológica,-10.40457,-77.40025,110051,155105,DIFERIDO
CAHUA,HLG,Hidrológica,-10.606,-77.34389,202404,202404,DIFERIDO
NUEVO PACHACOTO,PLU,Meteorológica,-9.85242,-77.40607,109095,109095,DIFERIDO
CHIRIACO,CO,Meteorológica,-5.16144,-78.28806,105104,000229,DIFERIDO
EL PINTOR,PLU,Meteorológica,-5.7562,-78.52286,105040,152204,DIFERIDO
MAGUNCHAL,PLU,Meteorológica,-5.8904,-78.1891,105046,152210,DIFERIDO
MAGUNCHAL,HLG,Hidrológica,-5.8898,-78.1886,221506,221506,DIFERIDO
EL PALTO,CO,Meteorológica,-6.00039,-78.47097,106121,003332,DIFERIDO
SAN PEDRO,HLM,Hidrológica,-9.60776,-77.50963,211404,201720,DIFERIDO
CHACCHAN,PLU,Meteorológica,-9.53519,-77.77536,109045,154107,DIFERIDO
PIRA,PLU,Meteorológica,-9.58528,-77.70719,109048,154110,DIFERIDO
MAYORARCA,PLU,Meteorológica,-10.15775,-77.34889,110040,150903,DIFERIDO
BUENA VISTA,CO,Meteorológica,-9.43371,-78.20825,109014,000435,DIFERIDO
CUNYAC,PLU,Meteorológica,-13.56334,-72.57594,113136,156224,DIFERIDO
CHARCANI,HLM,Hidrológica,-16.3109,-71.4949,204710,204711,DIFERIDO
LAS SALINAS,CO,Meteorológica,-16.3206,-71.1521,116046,158209,DIFERIDO
EL FRAYLE,CO,Meteorológica,-16.15482,-71.1891,116022,000849,DIFERIDO
PATAHUASI-AREQUIPA,CO,Meteorológica,-16.05542,-71.41481,116073,116073,DIFERIDO
PAMPA DE ARRIEROS,CO,Meteorológica,-16.0665,-71.5914,116043,158204,DIFERIDO
AYO,CO,Meteorológica,-15.6833,-72.2704,115088,157313,DIFERIDO
CHACHAS,CO,Meteorológica,-15.5025,-72.2686,115087,157312,DIFERIDO
GORGOR,PLU,Meteorológica,-10.62136,-77.04027,110041,151208,DIFERIDO
ARAHUAY,PLU,Meteorológica,-11.62091,-76.67034,111057,151204,DIFERIDO
HUAMANTANGA,PLU,Meteorológica,-11.50247,-76.74675,111085,155209,DIFERIDO
HUAROS,PLU,Meteorológica,-11.40743,-76.5758,111089,155218,DIFERIDO
PARIACANCHA,HLM,Hidrológica,-11.39315,-76.50244,202801,202801,DIFERIDO
PARIACANCHA,PLU,Meteorológica,-11.39315,-76.50294,111067,155112,DIFERIDO
LACHAQUI,PLU,Meteorológica,-11.554,-76.62706,111088,155217,DIFERIDO
OBRAJILLO,PLU,Meteorológica,-11.45264,-76.62206,111159,156133,DIFERIDO
